timestamp,story_id,story_title,youtube_url,instagram_status,facebook_status,source_mode,video_duration,word_count,layout
2026-05-05T10:42:24.594002,story_024,"The Second Safe-Deposit Box",https://youtube.com/shorts/aJNzAB01IxY,"SKIP","SKIP",unknown,95.8,361,split_screen
2026-05-05T11:14:00.321911,story_025,"The Witness on Line Twelve",https://youtube.com/shorts/ai-Wf7xEJ9M,"SKIP","SKIP",unknown,92.1,344,single_clip
2026-05-06T17:54:37.918859,story_026,"Her Signature on the Last Page",https://youtube.com/shorts/sDo_-En7FKc,"SKIP","SKIP",unknown,99.0,360,single_clip
2026-06-07T16:15:01.541529,story_027,"The Attorney's Other Client",https://youtube.com/shorts/MInmzZ2U7sE,"SKIP","SKIP",standard,90.8,342,split_screen
2026-06-07T18:18:07.100642,story_028,"The Notary's Front Porch",https://youtube.com/shorts/eqaAtV0xk4g,"SKIP","SKIP",standard,94.1,359,split_screen
2026-06-08T00:11:14.086817,story_029,"The Cards She Never Received",https://youtube.com/shorts/LDW_SfY-1rU,"SKIP","SKIP",standard,93.5,346,split_screen
2026-06-08T10:18:58.300268,story_072,"The Roommate Down the Hall",https://youtube.com/shorts/F20ASM8vI1s,"SKIP","SKIP",high_drama,75.0,296,split_screen
2026-06-08T15:36:17.325762,story_030,"Three Hundred Dollars a Day",https://youtube.com/shorts/GFXFUvHztFo,"SKIP","SKIP",standard,93.7,351,split_screen
2026-06-08T19:52:02.757226,story_031,"She Changed the Locks on His House",https://youtube.com/shorts/PMYVpLlUu6w,"SKIP","SKIP",standard,94.4,358,split_screen
2026-06-09T00:24:13.624614,story_032,"The Pharmacy Receipts",https://youtube.com/shorts/gFCfJnFp-Rw,"SKIP","SKIP",standard,97.9,354,split_screen
2026-06-09T08:11:08.406421,story_073,"The Last Ride Home",https://youtube.com/shorts/P7uwebZgukk,"SKIP","SKIP",high_drama,81.1,310,split_screen
2026-06-09T13:10:53.107375,story_033,"The Driveway That Moved",https://youtube.com/shorts/fIM9NKzx90c,"SKIP","SKIP",standard,86.3,338,split_screen
2026-06-09T18:15:52.992815,story_034,"The Dead Oak on Fernwood",https://youtube.com/shorts/7aVOibveVp8,"SKIP","SKIP",standard,90.1,356,split_screen
2026-06-09T23:45:03.247159,story_035,"The HOA Camera on Birch Lane",https://youtube.com/shorts/1cBk7Iyr69U,"SKIP","SKIP",standard,87.7,325,split_screen
2026-06-10T09:11:17.260065,story_074,"The Knock at 2 AM",https://youtube.com/shorts/0U2EWdNp5e8,"SKIP","SKIP",high_drama,75.4,317,split_screen
2026-06-10T13:24:46.116327,story_036,"The Easement He Sold to a Developer",https://youtube.com/shorts/OwPBfx-zdhk,"SKIP","SKIP",standard,91.9,345,split_screen
2026-06-10T20:04:14.623808,story_037,"The Shared Well Agreement",https://youtube.com/shorts/nmZQSyCJWG8,"SKIP","SKIP",standard,88.1,333,split_screen
2026-06-11T00:54:36.032951,story_038,"The Retirement Account Statement",https://youtube.com/shorts/hhFT9kLC4a8,"SKIP","SKIP",standard,98.8,367,split_screen
2026-06-11T09:16:59.581777,story_075,"The Man Across the Property Line",https://youtube.com/shorts/yFYSmcWf8y0,"SKIP","SKIP",high_drama,82.6,322,split_screen
2026-06-11T14:35:05.365121,story_039,"She Sold the House During Rehab",https://youtube.com/shorts/R6uGwA-Xgus,"SKIP","SKIP",standard,93.3,354,split_screen
2026-06-11T20:06:30.222654,story_040,"The Monthly ATM Withdrawals",https://youtube.com/shorts/M8ZucDpVDi0,"SKIP","SKIP",standard,97.2,359,split_screen
2026-06-12T00:12:51.721310,story_041,"He Moved Her for the Money",https://youtube.com/shorts/zEPpV7OUKDs,"SKIP","SKIP",standard,93.7,347,split_screen
2026-06-12T09:28:29.940129,story_076,"The Ex Who Wouldn't Leave",https://youtube.com/shorts/SRbSvC5TQeg,"SKIP","SKIP",high_drama,82.7,321,split_screen
2026-06-12T13:55:02.564846,story_042,"The Storage Unit on Vine Street",https://youtube.com/shorts/vVFMqT-VbMc,"SKIP","SKIP",standard,95.9,368,split_screen
2026-06-12T19:03:35.914663,story_043,"The Account in Reno",https://youtube.com/shorts/BEa7Un0dmZ4,"SKIP","SKIP",standard,97.9,376,split_screen
2026-06-12T23:32:52.436861,story_044,"The Second Life Insurance Policy",https://youtube.com/shorts/mVr8f8ZnvLg,"SKIP","SKIP",standard,97.4,364,split_screen
2026-06-13T08:43:25.797256,story_077,"The Trail She Took Alone",https://youtube.com/shorts/UP9tQjU-TCc,"SKIP","SKIP",high_drama,86.4,335,split_screen
2026-06-13T12:43:05.149368,story_045,"Forty Years of Letters",https://youtube.com/shorts/O5mZBHKH9E8,"SKIP","SKIP",standard,93.7,354,split_screen
